"StranaNr","Pořadí","Jméno","Věk","Povolání","Bydliště","Obhajuje","Minulá kandidatura","Změnil stranu"
901,1,"JIŘÍ SOUKUP",41,"obchodní zástupce","Křížov","Ano","JIŘÍ SOUKUP, NEZÁVISLÝ KANDIDÁT",""
902,5,"JOSEF BAKOS",69,"důchodce","Korkyně","Ano","KORKYNĚ 2010",""
901,3,"MIROSLAV HUŇKA",67,"důchodce","Křížov","Ano","KORKYNĚ 2010",""
902,6,"LUDMILA ČÁMSKÁ",65,"důchodkyně","Korkyně","Ano","KORKYNĚ 2010",""
901,2,"JAROSLAV MARTINOVSKÝ",63,"důchodce","Křížov","Ano","KORKYNĚ 2010",""
902,3,"Mgr. IRENA KADLECOVÁ",51,"učitelka","Korkyně","Ano","KORKYNĚ 2010",""
902,2,"Ing. ALENA DVOŘÁKOVÁ",60,"úřednice","Korkyně","Ano","KORKYNĚ 2010",""
902,1,"BOHUMIL POVALIL",68,"důchodce","Korkyně","Ano","KORKYNĚ 2010",""
903,7,"ADÉLA JELÍNKOVÁ",38,"v domácnosti","Korkyně","Ne","",""
903,5,"ALŽBĚTA KOLDOVSKÁ",35,"rodičovská dovolená","Korkyně","Ne","",""
903,6,"ILONA ČERNÁ",48,"OSVČ","Korkyně","Ne","",""
901,4,"KATEŘINA TESAŘOVÁ",44,"lesní dělnice","Křížov","Ne","",""
903,8,"JANA ČÁMSKÁ",46,"kuchařka","Korkyně","Ne","",""
903,9,"KRISTÝNA NAHODILOVÁ",39,"rodičovská dovolená","Korkyně","Ne","",""
903,4,"JAROMÍR ČERNÝ",52,"OSVČ","Korkyně","Ne","",""
901,6,"MICHAL DOLEJŠ",39,"živnostník","Korkyně","Ne","",""
903,3,"LUBOŠ ČÁMSKÝ",47,"OSVČ","Korkyně","Ne","",""
903,1,"PAVLA KUKAČKOVÁ",33,"rodičovská dovolená","Korkyně","Ne","",""
903,2,"ZDENĚK JELÍNEK",50,"OSVČ","Korkyně","Ne","",""
902,4,"ZDENKA ČERNOHORSKÁ",50,"ředitelka","Korkyně","Ne","",""
901,5,"VERONIKA KUBÍČOVÁ",34,"účetní","Korkyně","Ne","",""
